192.168.2.0/24,-,1,1
192.168.1.0/24,A,2,2
192.168.4.0/24,A,2,3
192.168.2.0/24,-,1,18
192.168.4.0/24,A,2,18
192.168.2.0/24,-,1,19
192.168.4.0/24,A,2,19
192.168.2.0/24,-,1,19
192.168.4.0/24,A,2,19
192.168.2.0/24,-,1,20
192.168.4.0/24,A,2,20
192.168.2.0/24,-,1,20
192.168.4.0/24,A,2,20
192.168.2.0/24,-,1,20
192.168.4.0/24,A,2,20
192.168.2.0/24,-,1,20
192.168.4.0/24,A,2,20
192.168.2.0/24,-,1,21
192.168.4.0/24,A,2,21
192.168.2.0/24,-,1,21
192.168.4.0/24,A,2,21
192.168.2.0/24,-,1,21
192.168.4.0/24,A,2,21
192.168.2.0/24,-,1,21
192.168.4.0/24,A,2,21
192.168.2.0/24,-,1,21
192.168.4.0/24,A,2,21
192.168.2.0/24,-,1,21
192.168.4.0/24,A,2,21
192.168.2.0/24,-,1,21
192.168.4.0/24,A,2,21
192.168.2.0/24,-,1,21
192.168.4.0/24,A,2,21
192.168.2.0/24,-,1,22
192.168.4.0/24,A,2,22
192.168.2.0/24,-,1,22
192.168.4.0/24,A,2,22
192.168.2.0/24,-,1,22
192.168.4.0/24,A,2,22
192.168.2.0/24,-,1,22
192.168.4.0/24,A,2,22
192.168.2.0/24,-,1,22
192.168.4.0/24,A,2,22
192.168.2.0/24,-,1,22
192.168.4.0/24,A,2,22
192.168.2.0/24,-,1,22
192.168.4.0/24,A,2,22
192.168.2.0/24,-,1,22
192.168.4.0/24,A,2,22
192.168.2.0/24,-,1,22
192.168.4.0/24,A,2,22
192.168.2.0/24,-,1,22
192.168.4.0/24,A,2,22
192.168.2.0/24,-,1,22
192.168.4.0/24,A,2,22
192.168.2.0/24,-,1,22
192.168.4.0/24,A,2,22
192.168.2.0/24,-,1,22
192.168.4.0/24,A,2,22
192.168.2.0/24,-,1,22
192.168.4.0/24,A,2,22
192.168.2.0/24,-,1,22
192.168.4.0/24,A,2,22
192.168.2.0/24,-,1,22
192.168.4.0/24,A,2,22
192.168.2.0/24,-,1,23
192.168.4.0/24,A,2,23
192.168.2.0/24,-,1,23
192.168.4.0/24,A,2,23
192.168.2.0/24,-,1,23
192.168.4.0/24,A,2,23
192.168.2.0/24,-,1,23
192.168.4.0/24,A,2,23
192.168.2.0/24,-,1,23
192.168.4.0/24,A,2,23
192.168.2.0/24,-,1,23
192.168.4.0/24,A,2,23
192.168.2.0/24,-,1,23
192.168.4.0/24,A,2,23
192.168.2.0/24,-,1,23
192.168.4.0/24,A,2,23
192.168.2.0/24,-,1,23
192.168.4.0/24,A,2,23
192.168.2.0/24,-,1,23
192.168.4.0/24,A,2,23
192.168.2.0/24,-,1,23
192.168.4.0/24,A,2,23
192.168.2.0/24,-,1,23
192.168.4.0/24,A,2,23
192.168.2.0/24,-,1,23
192.168.4.0/24,A,2,23
192.168.2.0/24,-,1,23
192.168.4.0/24,A,2,23
192.168.2.0/24,-,1,23
192.168.4.0/24,A,2,23
192.168.2.0/24,-,1,23
192.168.4.0/24,A,2,23
192.168.2.0/24,-,1,23
192.168.4.0/24,A,2,23
192.168.2.0/24,-,1,23
192.168.4.0/24,A,2,23
192.168.2.0/24,-,1,23
192.168.4.0/24,A,2,23
192.168.2.0/24,-,1,23
192.168.4.0/24,A,2,23
192.168.2.0/24,-,1,23
192.168.4.0/24,A,2,23
192.168.2.0/24,-,1,23
192.168.4.0/24,A,2,23
192.168.2.0/24,-,1,23
192.168.4.0/24,A,2,23
192.168.2.0/24,-,1,23
192.168.4.0/24,A,2,23
192.168.2.0/24,-,1,23
192.168.4.0/24,A,2,23
192.168.2.0/24,-,1,23
192.168.4.0/24,A,2,23
192.168.2.0/24,-,1,23
192.168.4.0/24,A,2,23
192.168.2.0/24,-,1,23
192.168.4.0/24,A,2,23
192.168.2.0/24,-,1,23
192.168.4.0/24,A,2,23
192.168.2.0/24,-,1,23
192.168.4.0/24,A,2,23
192.168.2.0/24,-,1,23
192.168.4.0/24,A,2,23
192.168.2.0/24,-,1,23
192.168.4.0/24,A,2,23
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
192.168.4.0/24,A,2,24
192.168.2.0/24,-,1,24
